model,pretest,map_id,battle,map,outcome,reason,triggered,trigger_turn,target,launch_turn,launch_count,result_turn,first_attack_result,engaged,failed_waves,cf_start_bases_a,cf_start_bases_b,cf_final_bases_a,cf_final_bases_b,cf_relation,cf_unclaimed,cf_built_a,cf_built_b
110193,22,313,177006,D:\github\2026-NYPC\summission_result\tournament\Pretest #22\battle-177006\tc-1-313-vs-1558.log,W,"200 days elapsed, HQ hp 25 vs 20",1,6,36,8,2,17,FAILURE_RELEASED,,,1,1,5,5,TIED,1,T14:R17 T27:R23 T38:R3 T42:R29,T14:R49 T27:R55 T38:R69 T42:R43
110193,22,1558,178934,D:\github\2026-NYPC\summission_result\tournament\Pretest #22\battle-178934\tc-1-1558-vs-1032.log,D,"200 days elapsed, HQ hp tied at 25 -> draw",1,18,54,,,30,NO_LAUNCH_RESOLVED,0,0,2,2,8,8,TIED,1,T23:R1 T34:R9 T43:R22 T45:R23 T55:R33 T58:R50,T23:R107 T34:R99 T43:R75 T45:R85 T55:R86 T58:R58
110193,22,1464,179658,D:\github\2026-NYPC\summission_result\tournament\Pretest #22\battle-179658\tc-1-1464-vs-1558.log,W,"200 days elapsed, HQ hp 25 vs 20",1,6,46,12,5,36,SUCCESS,0,0,1,1,7,8,BEHIND,0,T6:R29 T18:R3 T29:R24 T34:R21 T42:R34 T45:R19,T6:R46 T18:R71 T26:R58 T35:R68 T39:R89 T46:R63 T49:R73
110193,22,115,180415,D:\github\2026-NYPC\summission_result\tournament\Pretest #22\battle-180415\tc-1-115-vs-1558.log,W,"200 days elapsed, HQ hp 30 vs 25",1,6,45,14,3,34,SUCCESS,0,0,1,1,7,7,TIED,1,T13:R3 T27:R12 T37:R20 T46:R13 T49:R27 T59:R33,T13:R87 T27:R78 T37:R70 T46:R77 T49:R57 T59:R63
110193,23,1558,184207,D:\github\2026-NYPC\summission_result\tournament\Pretest #23\battle-184207\tc-1-1558-vs-721.log,W,"200 days elapsed, HQ hp 30 vs 25",1,6,47,,,7,NO_LAUNCH_RELEASED,,,1,1,9,9,TIED,1,T14:R7 T27:R10 T37:R19 T45:R11 T54:R28 T56:R32 T59:R43 T69:R35,T14:R75 T27:R84 T37:R87 T45:R83 T54:R51 T56:R62 T59:R66 T69:R59
110193,23,1558,184983,D:\github\2026-NYPC\summission_result\tournament\Pretest #23\battle-184983\tc-1-1558-vs-9.log,D,"200 days elapsed, HQ hp tied at 20 -> draw",1,6,25,14,3,33,SUCCESS,0,0,1,1,4,4,TIED,1,T14:R3 T28:R17 T38:R19,T14:R47 T28:R31 T38:R33
110193,23,1558,185716,D:\github\2026-NYPC\summission_result\tournament\Pretest #23\battle-185716\tc-1-1558-vs-1409.log,W,B's HQ destroyed on day 157,1,6,25,20,5,39,SUCCESS,0,0,1,1,4,4,TIED,1,T16:R12 T30:R19 T40:R29,T16:R21 T30:R31 T40:R38
110193,23,25,186094,D:\github\2026-NYPC\summission_result\tournament\Pretest #23\battle-186094\tc-1-25-vs-1558.log,W,"200 days elapsed, HQ hp 30 vs 25",1,7,40,12,4,34,SUCCESS,0,0,1,1,7,8,BEHIND,0,T7:R35 T18:R10 T30:R20 T35:R18 T42:R47 T46:R17,T7:R40 T22:R33 T28:R45 T37:R60 T41:R70 T48:R62 T51:R63
110193,23,1558,187238,D:\github\2026-NYPC\summission_result\tournament\Pretest #23\battle-187238\tc-1-1558-vs-978.log,W,B's HQ destroyed on day 168,1,6,33,,,7,NO_LAUNCH_RELEASED,,,1,1,5,5,TIED,1,T13:R1 T27:R16 T37:R5 T46:R31,T13:R65 T27:R50 T37:R61 T46:R35
110193,23,1558,188770,D:\github\2026-NYPC\summission_result\tournament\Pretest #23\battle-188770\tc-1-1558-vs-320.log,W,"200 days elapsed, HQ hp 30 vs 20",1,6,54,12,5,34,SUCCESS,0,0,1,1,8,11,BEHIND,0,T6:R70 T18:R12 T26:R14 T35:R28 T39:R35 T47:R41 T49:R25,T6:R54 T22:R73 T28:R67 T35:R94 T42:R96 T46:R80 T54:R38 T57:R52 T59:R56 T61:R83
110193,23,1558,189144,D:\github\2026-NYPC\summission_result\tournament\Pretest #23\battle-189144\tc-1-1558-vs-1537.log,W,"200 days elapsed, HQ hp 25 vs 20",1,6,34,8,2,17,FAILURE_RELEASED,,,1,1,5,5,TIED,1,T15:R9 T28:R11 T40:R21 T43:R29,T15:R57 T28:R59 T40:R39 T43:R47
110193,24,1558,195260,D:\github\2026-NYPC\summission_result\tournament\Pretest #24\battle-195260\tc-1-1558-vs-1255.log,W,"200 days elapsed, HQ hp 25 vs 20",1,18,41,,,32,NO_LAUNCH_RESOLVED,0,0,2,2,6,6,TIED,1,T26:R9 T37:R19 T40:R20 T53:R44,T26:R73 T37:R62 T40:R63 T53:R38
110193,24,1558,198739,D:\github\2026-NYPC\summission_result\tournament\Pretest #24\battle-198739\tc-1-1558-vs-85.log,W,"200 days elapsed, HQ hp 30 vs 25",1,7,50,,,8,NO_LAUNCH_RELEASED,,,1,1,8,8,TIED,1,T15:R3 T30:R16 T40:R23 T44:R21 T55:R33 T58:R46 T60:R52,T15:R97 T30:R77 T40:R84 T44:R67 T55:R79 T58:R48 T60:R54
110193,24,1558,199505,D:\github\2026-NYPC\summission_result\tournament\Pretest #24\battle-199505\tc-1-1558-vs-184.log,W,"200 days elapsed, HQ hp 30 vs 25",1,6,39,20,5,39,SUCCESS,0,0,1,1,6,6,TIED,1,T13:R3 T27:R19 T37:R5 T45:R20 T48:R29,T13:R75 T27:R59 T37:R58 T45:R73 T48:R49
